,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
Demand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total petrol demand [mL/y],129.252,130.541,130.818,131.094,131.371,131.648,131.925,132.202,132.479,132.756,133.033,133.310,133.587,128.693,122.848,117.003,111.158,105.332,103.867,106.622,109.377,111.579,112.804,115.161,117.956,120.750,123.545,126.340,129.134,
Total diesel demand [mL/y],280.407,271.540,258.954,246.369,233.784,221.199,208.614,196.029,183.444,170.859,158.274,145.689,133.104,121.550,110.949,100.347,89.745,79.801,74.803,66.447,58.091,50.338,43.651,36.964,30.277,23.590,16.903,10.216,3.529,
Total other fuel demand [mL/y],12.005,8.235,12.454,16.672,20.891,25.109,29.328,33.546,37.765,41.983,46.202,50.420,54.639,58.857,63.076,67.294,71.513,75.021,69.813,64.592,59.370,54.148,48.926,43.704,38.482,33.177,27.455,21.733,16.011,
Total H2 demand [kt/y],0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.481,0.962,1.444,1.925,2.406,2.887,3.368,3.850,4.331,4.812,5.293,5.774,6.256,6.737,7.218,7.699,
Total Electricity demand [GWh/y],0.000,17.132,34.263,51.395,68.527,85.658,102.790,119.922,137.054,154.185,171.317,188.449,205.580,222.712,239.844,256.975,274.107,291.239,308.370,325.502,342.634,359.766,376.897,394.029,411.161,428.292,445.424,462.556,479.687,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car petrol demand [mL/y],123.567,124.161,119.740,115.318,110.897,106.475,102.054,97.632,93.211,88.789,84.368,79.946,75.525,69.617,63.710,57.803,51.896,45.989,44.065,46.192,48.319,50.447,52.574,54.701,56.829,58.956,61.083,63.211,65.338,
Bus petrol demand [mL/y],4.007,1.678,3.353,5.029,6.704,8.380,10.055,11.730,13.406,15.081,16.757,18.432,20.107,21.783,23.458,25.134,26.809,28.484,30.160,31.835,33.511,35.186,36.861,38.537,40.212,41.888,43.563,45.239,46.914,
HGV petrol demand [mL/y],0.035,1.521,3.007,4.493,5.979,7.465,8.950,10.436,11.922,13.408,14.894,16.380,17.865,16.744,14.671,12.597,10.524,8.451,6.714,5.145,3.576,2.007,0.438,0.000,0.000,0.000,0.000,0.000,0.000,
LDV petrol demand [mL/y],0.701,2.281,3.861,5.440,7.020,8.600,10.180,11.760,13.340,14.919,16.499,18.079,19.659,20.168,20.677,21.186,21.695,22.204,22.713,23.222,23.731,23.687,22.667,21.647,20.627,19.606,18.586,17.566,16.546,
Motorbike petrol demand [mL/y],0.942,0.899,0.857,0.814,0.771,0.729,0.686,0.644,0.601,0.558,0.516,0.473,0.431,0.381,0.332,0.283,0.234,0.204,0.216,0.228,0.240,0.252,0.264,0.276,0.288,0.300,0.312,0.324,0.336,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car diesel demand [mL/y],67.378,67.906,68.434,68.962,69.490,70.018,70.546,71.074,71.602,72.130,72.658,73.186,73.714,73.714,73.714,73.714,73.714,73.714,70.399,63.712,57.025,50.338,43.651,36.964,30.277,23.590,16.903,10.216,3.529,
Bus diesel demand [mL/y],131.367,127.022,119.473,111.925,104.376,96.827,89.278,81.730,74.181,66.632,59.084,51.535,43.986,35.054,26.121,17.189,8.256,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
HGV diesel demand [mL/y],38.974,35.805,32.637,29.468,26.300,23.131,19.963,16.794,13.626,10.457,7.289,4.120,0.952,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
LDV diesel demand [mL/y],42.687,40.803,38.404,36.006,33.607,31.209,28.810,26.412,24.014,21.615,19.217,16.818,14.420,12.751,11.081,9.412,7.743,6.073,4.404,2.735,1.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Motorbike diesel demand [mL/y],0.000,0.003,0.006,0.008,0.011,0.014,0.016,0.019,0.022,0.025,0.027,0.030,0.033,0.033,0.033,0.033,0.033,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car other fuel demand [mL/y],7.296,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Bus other fuel  demand [mL/y],3.996,7.859,11.722,15.585,19.447,23.310,27.173,31.036,34.898,38.761,42.624,46.487,50.349,54.212,58.075,61.938,65.800,68.953,63.436,57.920,52.404,46.887,41.371,35.854,30.338,24.822,19.305,13.789,8.272,
HGV other fuel  demand [mL/y],0.014,0.344,0.675,1.005,1.336,1.666,1.997,2.327,2.658,2.988,3.319,3.649,3.980,4.310,4.641,4.971,5.302,5.632,5.963,6.293,6.624,6.954,7.285,7.615,7.946,8.193,8.024,7.854,7.685,
LDV other fuel  demand [mL/y],0.692,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Motorbike other fuel  demand [mL/y],0.007,0.032,0.057,0.083,0.108,0.133,0.158,0.184,0.209,0.234,0.259,0.284,0.310,0.335,0.360,0.385,0.411,0.436,0.414,0.378,0.342,0.306,0.270,0.234,0.198,0.162,0.126,0.090,0.054,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car H2 demand [kt/y],0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.270,0.540,0.811,1.081,1.351,1.621,1.891,2.161,2.432,2.702,2.972,3.242,3.512,3.782,4.053,4.323,
Bus H2 demand [kt/y],0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.211,0.422,0.633,0.844,1.055,1.266,1.477,1.688,1.899,2.110,2.321,2.532,2.743,2.954,3.165,3.376,
HGV H2 demand [kt/y],0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.114,0.229,0.343,0.458,0.572,0.687,0.801,0.916,1.030,1.145,0.845,0.384,0.000,0.000,0.000,0.000,
LDV H2 demand [kt/y],0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.126,0.252,0.377,0.503,0.629,0.755,0.880,1.006,1.132,1.258,1.383,1.509,1.635,1.761,1.886,2.012,
Motorbike H2 demand [kt/y],0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.005,0.006,0.006,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car electricity demand [GWh/y],0.000,7.126,14.252,21.378,28.503,35.629,42.755,49.881,57.007,64.133,71.259,78.385,85.510,92.636,99.762,106.888,114.014,121.140,128.266,135.391,142.517,149.643,156.769,163.895,171.021,178.147,185.272,192.398,199.524,
Bus electricity demand [GWh/y],0.000,6.607,13.214,19.821,26.429,33.036,39.643,46.250,52.857,59.464,66.072,72.679,79.286,85.893,92.500,99.107,105.715,112.322,118.929,125.536,132.143,138.750,145.358,151.965,158.572,165.179,171.786,178.393,185.000,
